ind,Pearson,PvalPearson,Spearman,PvalSpearman,pearson > 0.3,pearson < -0.3,spearman > 0.3,spearman < -0.3
1,-0.131436501,0,-0.0876163,0,0,0,0,0
2,-0.012686198,0.3443492,-0.0565576,0.0000245,0,0,0,0
3,0.322905786,0,0.3416844,0,1,0,1,0
4,0.054797593,0.0000436,-0.061914,0.0000039,0,0,0,0
5,0.089640352,0,0.1195665,0,0,0,0,0
6,0.273803029,0,0.3739879,0,0,0,1,0
7,0.26986962,0,0.3256514,0,0,0,1,0
8,-0.078674981,0,-0.0219699,0.1014785,0,0,0,0
9,-0.123117968,0,-0.0380436,0.0045595,0,0,0,0
10,0.361329407,0,0.3276155,0,1,0,1,0
11,-0.066846548,0.0000006,-0.1046213,0,0,0,0,0
12,-0.27967559,0,-0.1854595,0,0,0,0,0
13,-0.272302835,0,-0.1193153,0,0,0,0,0
14,0.189599514,0,0.1977305,0,0,0,0,0
15,0.206767101,0,0.2565087,0,0,0,0,0
16,0.348275157,0,0.3285127,0,1,0,1,0
17,0.057716157,0.0000167,0.1034132,0,0,0,0,0
18,0.275396129,0,0.382629,0,0,0,1,0
19,0.344628971,0,0.4465967,0,1,0,1,0
20,0.479072263,0,0.4042396,0,1,0,1,0
21,-0.09757654,0,-0.1526437,0,0,0,0,0
22,-0.513043425,0,-0.4777644,0,0,1,0,1
23,-0.180824144,0,0.0234428,0.0805411,0,0,0,0
24,0.339194373,0,0.2930694,0,1,0,0,0
25,-0.026366169,0.0493506,-0.0199076,0.1378186,0,0,0,0
26,1.60E-05,0.9990478,0.0177103,0.1867861,0,0,0,0
27,-0.219780895,0,-0.1931507,0,0,0,0,0
28,-0.410975458,0,-0.3387335,0,0,1,0,1
29,0.01733512,0.1962968,0.0825466,0,0,0,0,0
30,0.385358858,0,0.3487847,0,1,0,1,0
31,-0.49267692,0,-0.4289447,0,0,1,0,1
32,-0.010142795,0.4496402,0.0074744,0.577452,0,0,0,0
33,0.413831417,0,0.4061329,0,1,0,1,0
34,0.354041752,0,0.2970842,0,1,0,0,0
35,0.386539004,0,0.4388546,0,1,0,1,0
36,-0.342015044,0,-0.3416574,0,0,1,0,1
37,-0.375350086,0,-0.3631033,0,0,1,0,1
38,-0.311408161,0,-0.3049295,0,0,1,0,1
39,0.198371158,0,0.1671974,0,0,0,0,0
40,-0.347211826,0,-0.2537732,0,0,1,0,0
41,0.052936187,0.0000787,0.1278477,0,0,0,0,0
42,-0.10240014,0,-0.0880739,0,0,0,0,0
43,-0.016936664,0.2067802,-0.0148653,0.2678394,0,0,0,0
44,0.282618193,0,0.2608037,0,0,0,0,0
45,0.279801033,0,0.2220062,0,0,0,0,0
46,0.085519943,0,0.1099964,0,0,0,0,0
47,-0.178763722,0,-0.1076593,0,0,0,0,0
48,0.300078601,0,0.2553033,0,1,0,0,0
49,0.114155288,0,0.1236127,0,0,0,0,0
50,0.098010406,0,0.1448937,0,0,0,0,0
51,0.398598182,0,0.3340797,0,1,0,1,0
52,-0.007584369,0.5718624,-0.0083657,0.5329223,0,0,0,0
53,-0.000877315,0.9478628,0.0043398,0.7463371,0,0,0,0
54,-0.557739735,0,-0.5021856,0,0,1,0,1
55,-0.176680354,0,-0.1577291,0,0,0,0,0
56,-0.052395603,0.0000931,-0.0443002,0.0009547,0,0,0,0
57,0.252450114,0,0.2766648,0,0,0,0,0
58,-0.427277044,0,-0.3926724,0,0,1,0,1
59,-0.196897086,0,-0.1748289,0,0,0,0,0
60,0.202741051,0,0.219454,0,0,0,0,0
61,-0.476344562,0,-0.4176063,0,0,1,0,1
62,0.021283946,0.112607,-0.035514,0.0080998,0,0,0,0
63,-0.164066441,0,-0.1507765,0,0,0,0,0
64,-0.025034157,0.0620107,-0.0374407,0.0052443,0,0,0,0
65,-0.008743088,0.5146073,-0.014019,0.2960428,0,0,0,0
66,0.3852579,0,0.3281696,0,1,0,1,0
67,0.139070185,0,-0.0833924,0,0,0,0,0
68,-0.50404509,0,-0.4456331,0,0,1,0,1
69,-0.24727503,0,-0.2220795,0,0,0,0,0
70,-0.49347501,0,-0.4503895,0,0,1,0,1
71,-0.19287398,0,-0.1674897,0,0,0,0,0
72,-0.496222353,0,-0.5099953,0,0,1,0,1
73,-0.4196127,0,-0.418705,0,0,1,0,1
74,0.135003672,0,0.1605668,0,0,0,0,0
75,-0.448906015,0,-0.3943637,0,0,1,0,1
76,-0.261221414,0,-0.1945681,0,0,0,0,0
77,0.351162279,0,0.3332951,0,1,0,1,0
78,0.103435835,0,0.1156325,0,0,0,0,0
79,-0.319991243,0,-0.2654129,0,0,1,0,0
80,0.512635517,0,0.4713871,0,1,0,1,0
81,-0.327273643,0,-0.3559792,0,0,1,0,1
82,-0.148898987,0,-0.1275841,0,0,0,0,0
83,0.497143618,0,0.4276333,0,1,0,1,0
84,0.008688879,0.5172179,-0.0516562,0.0001168,0,0,0,0
85,0.132555003,0,0.0837069,0,0,0,0,0
86,0.04472057,0.0008532,0.0209847,0.1177531,0,0,0,0
87,0.010098155,0.4516378,0.0097875,0.4656755,0,0,0,0
88,-0.09356228,0,-0.090805,0,0,0,0,0
89,-0.024197453,0.0712585,-0.0793536,0,0,0,0,0
90,0.022135764,0.0989232,0.0449987,0.0007917,0,0,0,0
91,-0.042286092,0.0016148,-0.0314364,0.0190936,0,0,0,0
92,-0.175802745,0,-0.1069802,0,0,0,0,0
93,0.18666081,0,0.1962771,0,0,0,0,0
94,-0.121275684,0,-0.1194429,0,0,0,0,0
95,0.271373385,0,0.2621693,0,0,0,0,0
96,-0.314134315,0,-0.3117706,0,0,1,0,1
97,-0.182562176,0,-0.1814041,0,0,0,0,0
98,-0.115157597,0,-0.1193278,0,0,0,0,0
99,-0.149533027,0,-0.1275378,0,0,0,0,0
100,-0.082980919,0,-0.0696713,0.0000002,0,0,0,0
101,0.014754471,0.2714246,0.0376828,0.0049589,0,0,0,0
102,0.250268376,0,0.1878137,0,0,0,0,0
103,0.046079123,0.0005896,0.0796928,0,0,0,0,0
104,-0.035166252,0.0087432,-0.0450979,0.0007707,0,0,0,0
105,-0.056559891,0.0000245,0.0367042,0.0062063,0,0,0,0
106,-0.389027354,0,-0.3064808,0,0,1,0,1
107,0.443724268,0,0.4006154,0,1,0,1,0
108,0.038709378,0.0038981,0.0545492,0.0000472,0,0,0,0
109,-0.054481688,0.0000483,-0.0850727,0,0,0,0,0
110,0.04732861,0.0004161,0.0421986,0.0016513,0,0,0,0
111,0.127010999,0,0.2357352,0,0,0,0,0
112,0.085045325,0,0.1072304,0,0,0,0,0
113,0.046912813,0.0004677,-0.0020213,0.8802437,0,0,0,0
114,-0.414083655,0,-0.3460682,0,0,1,0,1
115,-0.22815139,0,-0.2269338,0,0,0,0,0
116,-0.320811951,0,-0.3014093,0,0,1,0,1
117,0.188620438,0,0.2209331,0,0,0,0,0
118,-0.298303935,0,-0.246771,0,0,0,0,0
119,-0.108153723,0,-0.0990043,0,0,0,0,0
120,-0.328340746,0,-0.3268707,0,0,1,0,1
121,0.013036318,0.3311967,0.0235351,0.0793551,0,0,0,0
122,0.000166971,0.9900704,-0.0031002,0.8172595,0,0,0,0
123,-0.310064419,0,-0.2975247,0,0,1,0,0
124,-0.015752575,0.2403171,-0.0075058,0.5758515,0,0,0,0
125,0.390873549,0,0.3594317,0,1,0,1,0
126,0.265496434,0,0.266632,0,0,0,0,0
127,0.174846549,0,0.0949151,0,0,0,0,0
128,0.414161163,0,0.3965041,0,1,0,1,0
129,-0.570975301,0,-0.4960056,0,0,1,0,1
130,-0.015161305,0.2584272,-0.0108092,0.4204209,0,0,0,0
131,-0.001907722,0.8869278,-0.0030848,0.8181486,0,0,0,0
132,-0.152851121,0,-0.1372004,0,0,0,0,0
133,0.220757787,0,0.1777461,0,0,0,0,0
134,0.42760051,0,0.4004636,0,1,0,1,0
135,0.127025766,0,0.1821438,0,0,0,0,0
136,0.133178536,0,0.147009,0,0,0,0,0
137,0.165322859,0,0.180445,0,0,0,0,0
138,0.558377195,0,0.5299437,0,1,0,1,0
139,-0.622384518,0,-0.5491376,0,0,1,0,1
140,-0.116819924,0,-0.0952029,0,0,0,0,0
141,0.080833172,0,0.1070905,0,0,0,0,0
142,0.077030986,0,0.1235224,0,0,0,0,0
143,-0.33419974,0,-0.2774899,0,0,1,0,0
144,0.038786633,0.0038273,0.0593332,0.0000096,0,0,0,0
145,0.118878945,0,0.081197,0,0,0,0,0
146,-0.469896712,0,-0.3388972,0,0,1,0,1
147,-0.505787833,0,-0.4558722,0,0,1,0,1
148,-0.343165527,0,-0.2810678,0,0,1,0,0
149,-0.140350846,0,-0.0041567,0.7566958,0,0,0,0
150,0.508510738,0,0.4069121,0,1,0,1,0
151,0.328600115,0,0.2903458,0,1,0,0,0
152,-0.29457273,0,-0.2966342,0,0,0,0,0
153,-0.006882385,0.607961,-0.0098514,0.4627705,0,0,0,0
154,0.383656985,0,0.2653596,0,1,0,0,0
155,0.027343337,0.0415077,-0.0411659,0.0021434,0,0,0,0
156,0.426716912,0,0.3626774,0,1,0,1,0
157,0.004989915,0.7099474,0.0058754,0.6614382,0,0,0,0
158,0.081205964,0,0.0920628,0,0,0,0,0
159,-0.003085428,0.8181123,-0.0067019,0.6174034,0,0,0,0
160,0.099713904,0,0.1067493,0,0,0,0,0
161,-0.072538024,0.0000001,-0.0573501,0.0000188,0,0,0,0
162,-0.009147383,0.495355,-0.0047637,0.7225421,0,0,0,0
163,-0.084959253,0,-0.0734613,0,0,0,0,0
164,0.438288478,0,0.3827395,0,1,0,1,0
165,-0.078697,0,-0.0701856,0.0000002,0,0,0,0
166,0.030639088,0.0223582,0.0295298,0.0277012,0,0,0,0
167,-0.116828581,0,-0.0939466,0,0,0,0,0
168,-0.453978316,0,-0.3784621,0,0,1,0,1
169,-0.164400475,0,-0.1447139,0,0,0,0,0
170,-0.032456729,0.0155287,-0.0248532,0.0639214,0,0,0,0
171,-0.092367883,0,-0.0827688,0,0,0,0,0
172,-0.117029782,0,-0.102122,0,0,0,0,0
173,-0.112656125,0,-0.0991482,0,0,0,0,0
174,0.008068565,0.5475722,0.0059518,0.6573162,0,0,0,0
175,-0.165495543,0,-0.1431378,0,0,0,0,0
176,0.468082682,0,0.4191581,0,1,0,1,0
