index,PWM,kmers,onehot
100,0.2485902,0.7580343,2.1287491
101,0.2177528,0.774196,2.2799908
102,0.2228899,0.7916547,2.632872
103,0.2388013,0.791667,2.4919419
104,0.2303711,0.8222613,2.5059902
105,0.2222342,0.8313939,2.5635895
106,0.2329526,0.7674238,2.3763389
107,0.2267193,0.8186055,2.6138929
108,0.2652015,0.7935238,2.5036412
109,0.2434625,0.8200343,2.5597435
110,0.2561991,0.8278989,2.7564719
111,0.2478534,0.817938,2.6450645
112,0.2354679,0.7890646,2.7479198
113,0.2492632,0.8272246,2.7319355
114,0.2408872,0.8539755,2.5718971
115,0.2327822,0.8634405,2.7763726
116,0.2395511,0.8138958,2.8016894
117,0.2671962,0.7859939,2.9101582
118,0.2454293,0.8087683,3.0399546
119,0.2408466,0.7814869,2.904147
120,0.2594067,0.7953983,3.9471555
121,0.2618392,0.820093,4.0341454
122,0.2411156,0.8110803,2.8520191
123,0.2579244,0.7948968,3.0673159
124,0.2649135,0.7874497,3.143415
125,0.2814618,0.8239786,3.0051284
126,0.2749521,0.9115901,3.0119402
127,0.2666906,0.7970987,3.2723144
128,0.2882746,0.7705596,3.1020571
129,0.2759266,0.7900261,3.0553965
130,0.2516677,0.8223811,2.737406
131,0.2561069,0.8134641,2.8784599
132,0.2880719,0.8017503,2.8206899
133,0.2801362,0.788535,3.2841454
134,0.2653379,0.8175194,3.1407435
135,0.281806,0.8552052,2.7947071
136,0.2732828,0.8329707,2.9270846
137,0.3159103,0.8349428,2.8861684
138,0.2671483,0.861002,2.8959112
139,0.2875691,0.7833009,2.7654474
140,0.2838237,0.8359669,2.9352275
141,0.2727995,0.8510043,2.9442089
142,0.2933315,0.8460162,2.9969616
143,0.2818008,0.8207387,3.1421093
144,0.3235136,0.9299272,3.0700527
145,0.2872662,0.846714,3.0974985
146,0.2862961,0.8402523,3.043514
147,0.3341366,0.8659605,3.055139
148,0.2850802,0.813466,3.2553657
149,0.3002514,0.8420609,3.5169785
150,0.3346109,0.8585936,4.0731864
151,0.3120769,0.8334053,3.6723225
152,0.3411594,0.8854462,3.332374
153,0.3381816,0.889028,3.2561319
154,0.2894823,0.8354531,3.2899769
155,0.2988785,0.845663,3.2361289
156,0.3315068,0.8195046,3.236021
157,0.3234517,0.869803,3.2960086
158,0.3550898,0.8858893,4.3700384
159,0.3544238,0.8499702,3.9260982
160,0.3505575,0.8450735,3.3864693
161,0.3788965,0.8540733,3.672473
162,0.3321816,0.8775808,3.6056049
163,0.3158823,0.8612079,3.5701053
164,0.3051196,0.9013796,3.5219377
165,0.3141967,0.8799433,3.4251097
166,0.2928324,0.9086704,3.7041992
167,0.3253502,0.9032887,3.8410459
168,0.3265092,0.8841528,3.940477
169,0.2997578,0.8697252,3.7440883
170,0.2989287,0.8560116,3.7707339
171,0.2987491,0.9429533,4.0056983
172,0.299925,0.9169085,3.9577917
173,0.3021346,0.9080587,3.882268
174,0.3766909,0.9124827,3.7146519
175,0.3523922,0.919875,3.7713821
176,0.3305315,0.918696,3.6090156
177,0.3888409,0.9365734,3.6994727
178,0.3486789,0.9230965,3.7227043
179,0.3177998,0.9475106,3.6043601
180,0.4155093,0.9202326,3.6721113
181,0.3621273,0.9180189,3.9381984
182,0.3456878,0.8694295,3.7507857
183,0.3768602,0.9460545,3.9019406
184,0.3561756,0.9248009,3.8698394
185,0.3458529,0.914769,3.7859011
186,0.3596838,0.9206994,4.0606378
187,0.3807464,0.8833945,3.9019942
188,0.3865756,0.9043368,3.9765232
189,0.3746249,0.9321477,3.9076482
190,0.3853498,0.9292481,5.4203528
191,0.4232867,0.9453873,4.45636
192,0.4412269,0.9413727,3.9937723
193,0.4656775,0.9463917,3.9632944
194,0.5228872,0.9291276,3.8201915
195,0.5366509,0.9909155,4.0021366
196,0.5526869,0.9115002,3.9701719
197,0.4606681,0.949147,3.7166058
198,0.5257757,0.9157702,3.9829298
