index,PearsonCorrelation,PearsonCorrelationPvalue,SpearmanCorrelation,SpearmanCorrelationPvalue,pearson > 0.3,pearson < -0.3,spearman > 0.3,spearman < -0.3
1,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
2,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
3,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
4,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
5,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
6,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
7,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
8,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
9,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
10,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
11,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
12,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
13,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
14,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
15,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
16,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
17,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
18,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
19,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
20,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
21,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
22,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
23,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
24,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
25,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
26,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
27,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
28,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
29,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
30,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
31,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
32,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
33,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
34,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
35,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
36,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
37,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
38,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
39,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
40,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
41,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
42,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
43,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
44,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
45,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
46,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
47,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
48,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
49,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
50,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
51,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
52,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
53,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
54,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
55,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
56,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
57,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
58,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
59,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
60,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
61,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
62,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
63,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
64,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
65,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
66,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
67,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
68,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
69,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
70,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
71,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
72,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
73,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
74,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
75,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
76,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
77,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
78,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
79,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
80,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
81,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
82,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
83,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
84,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
85,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
86,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
87,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
88,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
89,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
90,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
91,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
92,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
93,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
94,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
95,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
96,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
97,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
98,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
99,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
100,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
101,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
102,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
103,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
104,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
105,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
106,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
107,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
108,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
109,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
110,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
111,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
112,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
113,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
114,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
115,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
116,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
117,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
118,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
119,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
120,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
121,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
122,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
123,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
124,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
125,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
126,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
127,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
128,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
129,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
130,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
131,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
132,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
133,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
134,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
135,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
136,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
137,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
138,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
139,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
140,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
141,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
142,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
143,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
144,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
145,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
146,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
147,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
148,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
149,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
150,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
151,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
152,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
153,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
154,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
155,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
156,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
157,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
158,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
159,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
160,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
161,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
162,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
163,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
164,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
165,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
166,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
167,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
168,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
169,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
170,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
171,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
172,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
173,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
174,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
175,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
176,-0.009146599,0.4953919,-0.0142916,0.2867471,0,0,0,0
177,-0.017006629,0.2049106,-0.0401897,0.0027287,0,0,0,0
178,-0.020159901,0.1328969,-0.0364333,0.0065983,0,0,0,0
179,-0.021991405,0.101144,-0.0364289,0.0066049,0,0,0,0
180,-0.029440695,0.0281747,-0.0382937,0.0043,0,0,0,0
181,-0.029248483,0.0292198,-0.0382917,0.0043019,0,0,0,0
182,-0.030971489,0.0209424,-0.0382956,0.004298,0,0,0,0
183,0.260427764,0,0.2083599,0,0,0,0,0
184,0.210303964,0,0.1836181,0,0,0,0,0
185,0.271636179,0,0.2252184,0,0,0,0,0
186,0.314753673,0,0.2630194,0,1,0,0,0
187,0.171300462,0,0.1963051,0,0,0,0,0
188,0.110420188,0,0.2315142,0,0,0,0,0
189,0.097978202,0,0.2800492,0,0,0,0,0
190,-0.050478586,0.0001667,0.1568441,0,0,0,0,0
191,0.002645858,0.8436632,0.2284677,0,0,0,0,0
192,-0.133097619,0,-0.0444302,0.0009222,0,0,0,0
193,-0.146813013,0,-0.0306427,0.0223422,0,0,0,0
194,-0.233550342,0,-0.2290291,0,0,0,0,0
195,-0.283001308,0,-0.2311708,0,0,0,0,0
196,-0.1460091,0,-0.0596908,0.0000085,0,0,0,0
197,-0.133214313,0,-0.0638946,0.0000019,0,0,0,0
198,-0.121985025,0,-0.0030763,0.8186393,0,0,0,0
199,0.086643907,0,0.1926521,0,0,0,0,0
200,-0.104561423,0,-0.1299109,0,0,0,0,0
201,-0.034929146,0.0092077,0.1509036,0,0,0,0,0
202,-0.037257059,0.0054707,0.1507625,0,0,0,0,0
203,-0.039811461,0.0029922,0.1505815,0,0,0,0,0
204,-0.041747166,0.001852,0.149931,0,0,0,0,0
205,-0.041764805,0.0018438,0.1527291,0,0,0,0,0
206,-0.021999107,0.1010245,0.2041546,0,0,0,0,0
207,-0.048351254,0.000311,0.137033,0,0,0,0,0
208,-0.003488948,0.794825,0.2562632,0,0,0,0,0
209,0.250066315,0,0.4454162,0,0,0,1,0
210,0.202904033,0,0.4388995,0,0,0,1,0
211,0.2386216,0,0.4510909,0,0,0,1,0
212,0.239383697,0,0.4550679,0,0,0,1,0
213,0.240029351,0,0.4552541,0,0,0,1,0
214,0.241643449,0,0.4642182,0,0,0,1,0
215,0.25986174,0,0.4769854,0,0,0,1,0
216,0.270992274,0,0.4885726,0,0,0,1,0
217,0.23853414,0,0.3906878,0,0,0,1,0
218,0.023172453,0.0840966,0.2814535,0,0,0,0,0
219,-0.083307483,0,0.0388593,0.0037617,0,0,0,0
220,-0.146471768,0,-0.1715887,0,0,0,0,0
221,-0.152378714,0,-0.1707903,0,0,0,0,0
222,-0.151486711,0,-0.1714858,0,0,0,0,0
223,-0.156829798,0,-0.1713719,0,0,0,0,0
224,-0.174295724,0,-0.1728888,0,0,0,0,0
225,-0.193555708,0,-0.1909394,0,0,0,0,0
226,-0.167609662,0,-0.1897628,0,0,0,0,0
227,-0.121451633,0,-0.1956216,0,0,0,0,0
228,-0.019575284,0.1445134,-0.1961585,0,0,0,0,0
229,0.028264362,0.0351079,-0.1974545,0,0,0,0,0
230,0.094696006,0,0.0486594,0.0002845,0,0,0,0
231,0.112982117,0,0.0576142,0.0000172,0,0,0,0
232,0.136938766,0,0.181592,0,0,0,0,0
233,0.162252136,0,0.1903576,0,0,0,0,0
234,0.17825422,0,0.1837958,0,0,0,0,0
235,0.184498773,0,0.1307748,0,0,0,0,0
236,-0.028169377,0.0357264,-0.1324815,0,0,0,0,0
237,-0.054066321,0.0000551,0.0447604,0.0008442,0,0,0,0
238,-0.004094504,0.7602244,0.0457503,0.0006454,0,0,0,0
239,-0.009097469,0.4977109,0.0461357,0.0005805,0,0,0,0
240,-0.012675153,0.3447695,0.0456171,0.0006693,0,0,0,0
241,-0.023502953,0.0797669,0.0439375,0.0010511,0,0,0,0
242,-0.037176294,0.005573,0.0393094,0.003378,0,0,0,0
243,-0.049831469,0.000202,0.0367015,0.0062102,0,0,0,0
244,-0.064167584,0.0000017,0.034442,0.0102315,0,0,0,0
245,0.027492956,0.0404053,0.0401923,0.0027269,0,0,0,0
246,0.134686661,0,0.0688756,0.0000003,0,0,0,0
247,-0.028540695,0.0333603,-0.0317898,0.0177854,0,0,0,0
248,-0.045508697,0.0006894,-0.0282929,0.0349236,0,0,0,0
249,-0.05817888,0.0000142,-0.1676162,0,0,0,0,0
250,-0.11775901,0,-0.1702434,0,0,0,0,0
251,-0.117647134,0,-0.1702463,0,0,0,0,0
252,-0.116786182,0,-0.1702435,0,0,0,0,0
253,-0.123169254,0,-0.164059,0,0,0,0,0
254,-0.140038956,0,-0.1646171,0,0,0,0,0
255,-0.14170133,0,-0.1638917,0,0,0,0,0
256,-0.161120041,0,-0.1665498,0,0,0,0,0
257,-0.174721636,0,-0.168602,0,0,0,0,0
258,-0.189795929,0,-0.1753393,0,0,0,0,0
259,-0.188174249,0,-0.1769818,0,0,0,0,0
260,-0.187527666,0,-0.1768656,0,0,0,0,0
261,-0.185337469,0,-0.1766397,0,0,0,0,0
262,-0.112524374,0,0.2533229,0,0,0,0,0
263,-0.057409811,0.0000185,0.2501818,0,0,0,0,0
264,-0.037481033,0.0051958,0.2498552,0,0,0,0,0
265,0.051314925,0.0001296,0.2527109,0,0,0,0,0
266,0.067454333,0.0000005,0.2525807,0,0,0,0,0
267,0.068936074,0.0000003,0.2539132,0,0,0,0,0
268,0.097271634,0,0.2694043,0,0,0,0,0
269,0.097255737,0,0.2692689,0,0,0,0,0
270,0.094116629,0,0.2691299,0,0,0,0,0
271,0.014724166,0.2724104,0.0898844,0,0,0,0,0
272,0.027885937,0.0376276,0.0715864,0.0000001,0,0,0,0
273,0.094153637,0,0.0759556,0,0,0,0,0
274,0.047939693,0.0003499,0.0767201,0,0,0,0,0
275,-0.057871334,0.0000158,-0.042065,0.0017086,0,0,0,0
276,0.041397192,0.0020227,-0.0319004,0.0173921,0,0,0,0
277,0.008373406,0.5325457,-0.0889216,0,0,0,0,0
278,-0.009177317,0.493945,-0.0969122,0,0,0,0,0
279,-0.007299656,0.5863804,-0.0968278,0,0,0,0,0
280,-0.025803017,0.0544105,-0.0995111,0,0,0,0,0
281,-0.0812022,0,-0.1210811,0,0,0,0,0
282,-0.135579529,0,-0.1225962,0,0,0,0,0
283,-0.121217981,0,-0.1234005,0,0,0,0,0
284,0.012130382,0.3659031,0.0671543,0.0000005,0,0,0,0
285,-0.060220928,0.000007,0.0653205,0.0000011,0,0,0,0
286,-0.091983546,0,0.0528618,0.0000805,0,0,0,0
287,-0.121208102,0,-0.1614909,0,0,0,0,0
288,-0.121062324,0,-0.1604591,0,0,0,0,0
289,-0.120011543,0,-0.1597251,0,0,0,0,0
290,-0.125400145,0,-0.1604571,0,0,0,0,0
291,-0.138254514,0,-0.1648327,0,0,0,0,0
292,-0.156284041,0,-0.1696056,0,0,0,0,0
293,-0.163380379,0,-0.1713598,0,0,0,0,0
294,-0.17264755,0,-0.1744644,0,0,0,0,0
295,-0.177787493,0,-0.1746488,0,0,0,0,0
296,-0.180332232,0,-0.1740837,0,0,0,0,0
297,-0.185464631,0,-0.1738241,0,0,0,0,0
298,-0.190394885,0,-0.1731483,0,0,0,0,0
299,-0.187494958,0,-0.1726962,0,0,0,0,0
300,-0.173352895,0,-0.1667628,0,0,0,0,0
301,-0.171504113,0,-0.1683086,0,0,0,0,0
302,-0.167902303,0,-0.1666301,0,0,0,0,0
303,-0.179273896,0,-0.1077998,0,0,0,0,0
304,-0.148818389,0,-0.1029973,0,0,0,0,0
305,-0.083540494,0,-0.0193099,0.1500356,0,0,0,0
306,-0.071379942,0.0000001,-0.0177719,0.1852593,0,0,0,0
307,-0.071101246,0.0000001,-0.0181207,0.1767788,0,0,0,0
308,-0.073248901,0,-0.0192661,0.1509638,0,0,0,0
309,0.02303635,0.085934,-0.0163503,0.2229369,0,0,0,0
310,0.088700232,0,0.020417,0.1280235,0,0,0,0
311,0.093584505,0,0.0219184,0.1022822,0,0,0,0
312,0.115093778,0,0.1183473,0,0,0,0,0
313,-0.035363418,0.008373,0.1263169,0,0,0,0,0
314,-0.186850362,0,-0.1864975,0,0,0,0,0
315,-0.180412572,0,-0.1851479,0,0,0,0,0
316,-0.181837636,0,-0.1851374,0,0,0,0,0
317,-0.181669168,0,-0.18511,0,0,0,0,0
318,-0.182113193,0,-0.1851096,0,0,0,0,0
319,-0.182209981,0,-0.1849915,0,0,0,0,0
320,-0.187416912,0,-0.1860552,0,0,0,0,0
321,-0.185792427,0,-0.1857719,0,0,0,0,0
322,-0.147857148,0,-0.1851347,0,0,0,0,0
323,0.078019245,0,0.0848188,0,0,0,0,0
324,0.022724864,0.0902612,0.0326932,0.0147912,0,0,0,0
325,0.066845577,0.0000006,0.0766405,0,0,0,0,0
326,0.125035607,0,0.1071888,0,0,0,0,0
327,0.115918168,0,0.1067772,0,0,0,0,0
328,0.135748148,0,0.1107994,0,0,0,0,0
329,0.092733997,0,-0.1546611,0,0,0,0,0
330,0.047280606,0.0004218,-0.1532026,0,0,0,0,0
331,0.041956738,0.0017562,-0.1530474,0,0,0,0,0
332,0.012678623,0.3446374,-0.1529302,0,0,0,0,0
333,0.013544208,0.3127028,-0.1529333,0,0,0,0,0
334,0.00723479,0.5897117,-0.1528381,0,0,0,0,0
335,-0.011983776,0.3717257,-0.152889,0,0,0,0,0
336,-0.033285503,0.0130783,-0.1528265,0,0,0,0,0
337,-0.069630076,0.0000002,-0.1557643,0,0,0,0,0
338,-0.058922956,0.000011,-0.1562194,0,0,0,0,0
339,-0.031494904,0.0188714,-0.1649943,0,0,0,0,0
340,-0.02988463,0.0258835,-0.1665143,0,0,0,0,0
341,0.00854516,0.5241723,-0.1800019,0,0,0,0,0
342,-0.155828868,0,-0.1870987,0,0,0,0,0
343,-0.157850385,0,-0.1865429,0,0,0,0,0
344,-0.154130817,0,-0.1864778,0,0,0,0,0
345,-0.151320169,0,-0.1862622,0,0,0,0,0
346,-0.151538762,0,-0.1850886,0,0,0,0,0
347,-0.165343288,0,-0.1884335,0,0,0,0,0
348,-0.163960725,0,-0.1877045,0,0,0,0,0
349,-0.140175273,0,-0.1843573,0,0,0,0,0
350,-0.127852698,0,-0.1821008,0,0,0,0,0
351,-0.111345484,0,-0.1562946,0,0,0,0,0
352,-0.109118987,0,-0.1554767,0,0,0,0,0
353,-0.108861502,0,-0.1543512,0,0,0,0,0
354,-0.10985005,0,-0.1551252,0,0,0,0,0
355,-0.104454122,0,-0.1552644,0,0,0,0,0
356,-0.07885857,0,-0.1543722,0,0,0,0,0
357,-0.068734298,0.0000003,-0.1548483,0,0,0,0,0
358,-0.133433535,0,-0.1630758,0,0,0,0,0
359,-0.135421413,0,-0.1622393,0,0,0,0,0
360,-0.105715885,0,-0.1598632,0,0,0,0,0
361,-0.100033737,0,-0.1672908,0,0,0,0,0
362,-0.101860408,0,-0.1674446,0,0,0,0,0
363,-0.097964918,0,-0.1688103,0,0,0,0,0
364,-0.095208724,0,-0.168828,0,0,0,0,0
365,-0.117024958,0,-0.1774212,0,0,0,0,0
366,-0.152829608,0,-0.1792226,0,0,0,0,0
367,-0.123826827,0,-0.1761699,0,0,0,0,0
368,-0.134546957,0,-0.17946,0,0,0,0,0
369,-0.134791128,0,-0.1791619,0,0,0,0,0
370,-0.148185822,0,-0.1791279,0,0,0,0,0
371,-0.136470474,0,-0.1762343,0,0,0,0,0
372,-0.094968,0,0.0172063,0.1996419,0,0,0,0
373,-0.046173016,0.0005745,0.0145806,0.2771143,0,0,0,0
374,-0.095555098,0,-0.1012988,0,0,0,0,0
375,-0.0785694,0,-0.0746436,0,0,0,0,0
376,-0.092148939,0,-0.0483775,0.0003086,0,0,0,0
377,-0.087166295,0,0.001411,0.9162426,0,0,0,0
378,-0.103684619,0,0.0136149,0.3101836,0,0,0,0
379,-0.197159859,0,-0.0326999,0.014771,0,0,0,0
380,-0.212945082,0,-0.0434395,0.0011982,0,0,0,0
381,-0.233422249,0,-0.0500407,0.0001899,0,0,0,0
382,-0.269717491,0,-0.0909835,0,0,0,0,0
383,-0.283295816,0,-0.0743711,0,0,0,0,0
384,-0.294012329,0,-0.0852749,0,0,0,0,0
385,-0.312794012,0,-0.2336913,0,0,1,0,0
386,-0.334344001,0,-0.2760112,0,0,1,0,0
387,-0.342189339,0,-0.3883046,0,0,1,0,1
388,-0.146486396,0,-0.1670863,0,0,0,0,0
389,-0.12142916,0,-0.172307,0,0,0,0,0
390,-0.134072841,0,-0.1719979,0,0,0,0,0
